reaction,has_rclass,has_main_pair,num_pairs
R10033,True,True,2
R00453,True,True,34
R00985,True,True,5
R05439,True,True,4
R03728,True,True,4
R05508,True,True,25
R00237,True,True,11
R05564,True,True,6
R08279,True,True,4
R09528,True,True,289
R05615,True,True,22
R02234,True,True,1
R10704,True,True,3
R13136,True,True,1
R08979,True,True,4
R08087,True,True,52
R09708,True,True,2
R12772,False,False,0
R12133,True,True,18
R07240,True,True,161
R04384,True,True,5
R11503,True,True,11
R09526,True,True,1
R09479,True,True,3
R11593,True,True,3
R10991,True,True,62
R08323,True,True,461
R06923,True,True,19
R12576,False,False,0
R09811,True,True,4
R07650,True,True,28
R00319,True,True,1
R11889,True,True,45
R09556,True,True,1
R02377,True,True,37
R10697,True,True,2
R00197,True,True,4
R00235,True,True,161
R01635,True,True,14
R07685,True,True,14
R00692,True,True,64
R00995,True,True,3
R03277,True,True,35
R11608,False,False,0
R01716,True,True,27
R08157,True,True,148
R00258,True,True,64
R10577,True,True,4
R06889,True,True,2
R07160,True,True,162
R02010,True,True,2
R00317,True,True,30
R10126,True,True,37
R06926,True,True,20
R12391,True,True,167
R08090,True,True,4
R05427,True,True,10
R05591,True,True,4
R08289,True,True,4
R11903,True,True,34
R04105,True,True,44
R00909,True,True,138
R11552,True,True,246
R03139,True,True,33
R01295,True,True,43
R10511,True,True,4
R01286,True,True,26
R02872,True,True,4
R02813,True,True,2
R01399,True,True,105
R10049,True,True,12
R02612,True,True,32
R04305,True,True,15
R09539,True,True,14
R00755,True,True,9
R05720,True,True,1
R08666,True,True,7
R01467,True,True,1
R04890,True,True,33
R11141,True,True,1
R02343,True,True,6
R02874,True,True,4
R08901,True,True,78
R08096,True,True,52
R02613,True,True,33
R10248,True,True,55
R08864,True,True,2
R09477,True,True,4
R10016,True,True,5
R05329,True,True,23
R10125,True,True,37
R10559,True,True,9
R10241,True,True,8
R13298,False,False,0
R12707,True,True,6
R02293,True,True,34
R08659,True,True,14
R08158,True,True,148
R02682,True,True,181
R11918,True,True,3
R10283,True,True,28
R01426,True,True,8
R02675,True,True,7
R05442,True,True,18
R07861,True,True,39
R08535,True,True,1
R02950,True,True,102
R07868,True,True,4
R12429,False,False,0
R03782,True,True,2
R08176,True,True,255
R10659,True,True,465
R11693,True,True,62
R11546,True,True,1
R09387,True,True,1
R00575,True,True,246
R13050,True,True,3
R11996,True,True,3
R00068,True,True,1
R11015,True,True,4
R03560,True,True,104
R09052,True,True,1
R10250,True,True,161
R10888,False,False,0
R01874,True,True,2
R09079,True,True,39
R05861,True,True,3
R01214,True,True,67
R01631,True,True,8
R02344,True,True,13
R13209,False,False,0
R05740,True,True,1
R10102,True,True,30
R00920,True,True,474
R02233,True,True,2
R09156,True,True,1
R04488,True,True,3
R09105,True,True,22
R01212,True,True,7
R01766,True,True,14
R09077,True,True,38
R00993,True,True,1
R01992,True,True,242
R10506,True,True,1
R02743,True,True,146
R01447,True,True,26
R08166,True,True,5
R00209,True,True,161
R02611,True,True,37
R10179,True,True,33
R13289,False,False,0
R10216,True,True,30
R11037,True,True,12
R02944,True,True,24
R00203,True,True,4
R12320,True,True,1
R10600,True,True,100
R07201,True,True,3
R07300,True,True,138
R00930,True,True,10
R01374,True,True,62
R10034,True,True,2
R07859,True,True,90
R05138,True,True,13
R07631,True,True,8
R09337,True,True,61
R10043,True,True,104
R02628,True,True,2
R11944,True,True,15
R11515,True,True,26
R09525,True,True,1
R04608,True,True,61
R08478,True,True,2
R03572,True,True,21
R00943,True,True,225
R12590,True,True,5
R05558,True,True,3
R08436,False,False,0
R04676,True,True,2
R09002,True,True,5
R01582,True,True,62
R11352,True,True,2
R07634,True,True,2
R11653,True,True,102
R05622,True,True,8
R05381,True,True,24
R04770,True,True,4
R05648,True,True,19
R01699,True,True,7
R00899,True,True,153
R10448,True,True,42
R08600,True,True,104
R00750,True,True,23
R05621,True,True,8
R05162,True,True,161
R00994,True,True,3
R11627,True,True,3
R01636,True,True,4
R05735,True,True,231
R04463,True,True,246
R06973,True,True,1
R05365,True,True,18
R04937,False,False,0
R01628,True,True,104
R03545,True,True,37
R05764,True,True,42
R11116,False,False,0
R08992,True,True,1
R00205,True,True,4
R05636,True,True,2
R00353,True,True,7
R00694,True,True,62
R04304,True,True,37
R05225,True,True,246
R01378,True,True,2
R00196,True,True,4
R02200,True,True,5
R03818,True,True,43
R10853,True,True,25
R03511,True,True,2
R09494,True,True,1
R01991,True,True,461
R05880,True,True,167
R00320,True,True,30
R03663,True,True,167
R05155,True,True,1
R06790,True,True,43
R09195,True,True,26
R05811,True,True,3
R01850,True,True,158
R02863,True,True,4
R05417,True,True,13
R05083,True,True,141
R03933,True,True,2
R12805,False,False,0
R02929,True,True,425
R01026,True,True,181
R01156,True,True,138
R05235,True,True,31
R04490,True,True,181
R03465,True,True,19
R04212,True,True,245
R10252,True,True,161
R01298,True,True,104
R04409,True,True,124
R07419,True,True,206
R02133,True,True,3
R02615,True,True,2
R00344,True,True,231
R07519,True,True,13
R07479,True,True,4
R02509,True,True,5
R12689,True,True,1
R02383,True,True,104
R00301,True,True,6
R10076,True,True,25
R06890,True,True,5
R02548,True,True,55
R00704,True,True,5
R05344,True,True,1
R13381,False,False,0
R02232,True,True,2
R13441,True,True,26
R07983,True,True,2
R09475,True,True,54
R03652,True,True,167
R07273,True,True,22
R00822,True,True,11
R01987,True,True,138
R05425,True,True,5
R02009,True,True,8
R02193,True,True,166
R00894,True,True,461
R00215,True,True,4
R10681,True,True,178
R12285,True,True,2
R09794,True,True,1
R02345,True,True,4
R01701,True,True,11
R11583,False,False,0
R02955,True,True,100
R05598,True,True,5
R02672,True,True,2
R02252,True,True,8
